node,betweenness_centrality,closeness_centrality,degree_centrality
acronite 50 tablet,1.1175378050859161e-05,0.7991158779621712,0.030534351145038167
acticod syrup,9.007234941820291e-05,0.9205275899490776,0.061068702290076333
acticuf cd 2mg/10mg syrup,9.007234941820291e-05,0.9205275899490776,0.061068702290076333
actidol-dp tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
actirax 0.25mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
actirax 0.5mg tablet,6.280763361236917e-07,0.6846941943495809,0.015267175572519083
actodol injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
actodol-p tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
actram p 37.5mg/500mg tablet,3.134616001256474e-05,0.8407929851315288,0.11450381679389313
acudol d tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
acugesic 50mg injection,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
acugesic t 500 mg/37.5 mg tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
aculip 25 mg/10 mg tablet,1.602404439539721e-05,0.800508166969147,0.0916030534351145
aculip h 12.5 mg/5 mg tablet,1.602404439539721e-05,0.800508166969147,0.0916030534351145
aculip h 12.5mg/5mg tablet,1.602404439539721e-05,0.800508166969147,0.0916030534351145
acupain 50mg capsule,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
acuvin tablet,1.073315002030881e-05,0.8348095995154818,0.05343511450381679
adamon 50mg capsule,5.8860647739280435e-06,0.8331696259916888,0.03816793893129771
adclobaz 10 tablet md,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
speech disorder,6.963501419468112e-05,0.3149098130067847,0.03633694255826757
abnormality of voluntary movements,0.00047705070141557327,0.3501379944802208,0.046063497889521014
aggression,6.963501419468112e-05,0.3149098130067847,0.03633694255826757
drug tolerance,6.963501419468112e-05,0.3149098130067847,0.03633694255826757
difficulty in paying attention,8.453237197739027e-05,0.3386321845898333,0.03652046247017801
restlessness,8.359083921381093e-05,0.3475799086757991,0.03707102220590934
irritability,6.963501419468112e-05,0.3149098130067847,0.03633694255826757
decreased appetite,6.963501419468112e-05,0.3149098130067847,0.03633694255826757
tremors,0.0005290891430659657,0.35173433553077443,0.05285373463020737
fatigue,0.030732874450670154,0.4083398898505114,0.2569278766746192
adclobaz 2.5 tablet md,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
adcloz 0.25mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
adcloz 0.5mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
adcloz 1mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
adcloz 2mg tablet md,5.1476376818324204e-05,0.9656712496716,0.04580152671755725
addnok 0.2mg tablet,5.145131322500262e-05,0.8054196187276312,0.08396946564885496
drug withdrawal syndrome,1.2872975272606951e-06,0.3275199357466583,0.0023857588548357495
addwize 10mg tablet,7.41249798400105e-07,0.55082671462111,0.030534351145038167
addwize od 18mg tablet,7.41249798400105e-07,0.55082671462111,0.030534351145038167
adinep 10mg tablet,3.9616768675442404e-05,0.8518346852066435,0.13740458015267176
